"description","sequence"
"gets light components from the box","A1 B0 G1 A0 B0 P0 A0"
"gets light components from palet","A1 B0 G1 A0 B0 P0 A0"
"gets light components from WIP","A1 B0 G1 A0 B0 P0 A0"
"gets light object from palet","A1 B0 G1 A0 B0 P0 A0"
"gets light object from the box","A1 B0 G1 A0 B0 P0 A0"
"gets light object from WIP","A1 B0 G1 A0 B0 P0 A0"
"gets light component from near the nest","A1 B0 G1 A0 B0 P0 A0"
"gets light object from near the nest","A1 B0 G1 A0 B0 P0 A0"
"gets heavy components from the box","A1 B0 G3 A0 B0 P0 A0"
"gets heavy components from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets heavy components from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets heavy components from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets bulky components from the box","A1 B0 G3 A0 B0 P0 A0"
"gets bulky components from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets bulky components from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets bulky components from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed components from the box","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed components from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed components from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed components from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets blind components from the box","A1 B0 G3 A0 B0 P0 A0"
"gets blind components from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets blind components from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets blind components from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets heavy object from the box","A1 B0 G3 A0 B0 P0 A0"
"gets heavy object from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets heavy object from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets heavy object from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets bulky object from the box","A1 B0 G3 A0 B0 P0 A0"
"gets bulky object from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets bulky object from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets bulky object from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed object from the box","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed object from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed object from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets obstructed object from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets blind object from the box","A1 B0 G3 A0 B0 P0 A0"
"gets blind object from pallet","A1 B0 G3 A0 B0 P0 A0"
"gets blind object from WIP","A1 B0 G3 A0 B0 P0 A0"
"gets blind object from near the nest","A1 B0 G3 A0 B0 P0 A0"
"gets light components from the box 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light components from palet 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light components from WIP 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light object from palet 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light object from the box 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light object from WIP 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light component from near the nest 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets light object from near the nest 50% of the time","A1 B3 G1 A0 B0 P0 A0"
"gets heavy components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind components from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind components from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind components from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind components from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets heavy object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets bulky object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets obstructed object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind object from the box 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind object from pallet 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind object from WIP 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets blind object from near the nest 50% of the time","A1 B3 G3 A0 B0 P0 A0"
"gets light components from the box 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light components from palet 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light components from WIP 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light object from palet 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light object from the box 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light object from WIP 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light component from near the nest 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets light object from near the nest 100% of the times","A1 B6 G1 A0 B0 P0 A0"
"gets heavy components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind components from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind components from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind components from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind components from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets heavy object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets bulky object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets obstructed object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind object from the box 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind object from pallet 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind object from WIP 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets blind object from near the nest 100% of the times","A1 B6 G3 A0 B0 P0 A0"
"gets light components from the box 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light components from palet 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light components from WIP 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light object from palet 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light object from the box 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light object from WIP 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light component from near the nest 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets light object from near the nest 100% of the times with adjustment","A1 B10 G1 A0 B0 P0 A0"
"gets heavy components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets heavy components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky components from WIP 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets bulky components from near the nest 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed components from the box 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
"gets obstructed components from pallet 100% of the times with adjustment","A1 B10 G3 A0 B0 P0 A0"
