"description","sequence","time"
"gets light components from the box","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light components from palet","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light components from WIP","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light object from palet","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light object from the box","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light object from WIP","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light component from near the nest","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets light object from near the nest","A1 B0 G1 A0 B0 P0 A0","0.72"
"gets heavy components from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy components from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy components from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy components from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky components from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky components from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky components from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets bulky components from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed components from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed components from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed components from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets obstructed components from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind components from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind components from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind components from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets blind components from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy object from the box","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy object from pallet","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy object from WIP","A1 B0 G3 A0 B0 P0 A0","1.44"
"gets heavy object from near the nest","A1 B0 G3 A0 B0 P0 A0","1.44"
